corpus,filename,circular_no,date,title,url,downloaded_at,file_size_kb
gst,01062019-GST-An-Update.pdf,unknown,01.06.2019,Detailed PPT as on 01.06.2019,https://cbic-gst.gov.in/pdf/01062019-GST-An-Update.pdf,2026-06-09T16:36:44.248080,1846.6
gst,Advisory_No._09_2026_dated_050626_HSNS__for_filing_Sealing_De_sealing_request.pdf,09/2026,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/Advisory No. 09_2026 dated 050626_HSNS_ for filing Sealing_De sealing request.pdf,2026-06-09T16:37:21.400030,7249.0
gst,Introduction_of_2FA.pdf,unknown,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/Introduction_of_2FA.pdf,2026-06-09T16:37:35.994750,367.8
gst,AdvisoryNo_08_of_2026_CE_Declaration_Change__Addition_disposal_of_machines.pdf,unknown,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/AdvisoryNo 08 of 2026_CE Declaration_Change _Addition_disposal of machines.pdf,2026-06-09T16:37:54.696822,4024.4
gst,01062019-GST-An-Update.pdf,unknown,01.06.2019,Detailed PPT as on 01.06.2019,https://cbic-gst.gov.in/pdf/01062019-GST-An-Update.pdf,2026-06-09T16:50:29.038685,1846.6
gst,Advisory_20No._2009_2026_20dated_20050626_HSNS__20for_20filing_20Sealing_De_20sealing_20request.pdf,09/2026,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/Advisory%20No.%2009_2026%20dated%20050626_HSNS_%20for%20filing%20Sealing_De%20sealing%20request.pdf,2026-06-09T16:51:06.821143,7249.0
gst,Introduction_of_2FA.pdf,unknown,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/Introduction_of_2FA.pdf,2026-06-09T16:51:06.823142,367.8
gst,AdvisoryNo_2008_20of_202026_CE_20Declaration_Change_20_Addition_disposal_20of_20machines.pdf,unknown,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/AdvisoryNo%2008%20of%202026_CE%20Declaration_Change%20_Addition_disposal%20of%20machines.pdf,2026-06-09T16:51:17.412344,4024.4
gst,AdvisoryNo._2007_2026HSNSAMENDMENT_20DECLARATION.pdf,07/2026,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/AdvisoryNo.%2007_2026HSNSAMENDMENT%20DECLARATION.pdf,2026-06-09T16:51:31.999925,4659.4
gst,DuePayment.pdf,unknown,07.06.2026,Click here for Advisory.,https://cbic-gst.gov.in/pdf/DuePayment.pdf,2026-06-09T16:51:46.386211,13.8
gst,AdvisoryNo.06of2026dated12.03.26onfilingofHSNSReturns_RET-01.pdf,unknown,07.06.2026,Click here for Advisory.,https://cbic-gst.gov.in/pdf/AdvisoryNo.06of2026dated12.03.26onfilingofHSNSReturns_RET-01.pdf,2026-06-09T16:51:57.227515,4628.7
gst,ADVISORY_05-2026_CE_PMT_01.pdf,05/2026,07.06.2026,Click here for Advisory.,https://cbic-gst.gov.in/pdf/ADVISORY_05-2026_CE_PMT_01.pdf,2026-06-09T16:52:13.465840,2453.2
gst,procedure-locate-e-payment-challan.pdf,unknown,07.06.2026,Latest Update - 6th February 2024 - alternate steps to locate e-Payment Challan under ICEGATE portal.,https://cbic-gst.gov.in/pdf/procedure-locate-e-payment-challan.pdf,2026-06-09T16:53:24.988858,260.7
gst,ins-gst-02-2025.pdf,02/2025,unknown,"Procedure to be followed in department appeal filed against interest and/or penalty only, related to Section 128A of the CGST Act, 2017 -regarding.",https://cbic-gst.gov.in/pdf/ins-gst-02-2025.pdf,2026-06-09T16:55:04.667339,376.3
gst,GST-Circular.pdf,unknown,unknown,"Clarification regarding GST rates & classification (goods) based on the recommendations of the GST Council in its 55th meeting held on 21st December, 2024, at Jaisalmer -reg.",https://cbic-gst.gov.in/pdf/GST-Circular.pdf,2026-06-09T16:55:35.832637,1042.9
gst,Circular-55thGSTC-Services.pdf,unknown,unknown,Clarifications regarding applicability of GST on certain services – reg.,https://cbic-gst.gov.in/pdf/Circular-55thGSTC-Services.pdf,2026-06-09T16:55:45.650231,2314.3
gst,01062019-GST-An-Update.pdf,unknown,01.06.2019,Detailed PPT as on 01.06.2019,https://cbic-gst.gov.in/pdf/01062019-GST-An-Update.pdf,2026-06-09T17:17:55.676293,1846.6
gst,Advisory_20No._2009_2026_20dated_20050626_HSNS__20for_20filing_20Sealing_De_20sealing_20request.pdf,09/2026,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/Advisory%20No.%2009_2026%20dated%20050626_HSNS_%20for%20filing%20Sealing_De%20sealing%20request.pdf,2026-06-09T17:18:45.635742,7249.0
gst,Introduction_of_2FA.pdf,unknown,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/Introduction_of_2FA.pdf,2026-06-09T17:18:45.637938,367.8
gst,AdvisoryNo_2008_20of_202026_CE_20Declaration_Change_20_Addition_disposal_20of_20machines.pdf,unknown,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/AdvisoryNo%2008%20of%202026_CE%20Declaration_Change%20_Addition_disposal%20of%20machines.pdf,2026-06-09T17:18:45.639384,4024.4
gst,01062019-GST-An-Update.pdf,unknown,01.06.2019,Detailed PPT as on 01.06.2019,https://cbic-gst.gov.in/pdf/01062019-GST-An-Update.pdf,2026-06-09T17:50:30.342863,1846.6
gst,Advisory_20No._2009_2026_20dated_20050626_HSNS__20for_20filing_20Sealing_De_20sealing_20request.pdf,09/2026,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/Advisory%20No.%2009_2026%20dated%20050626_HSNS_%20for%20filing%20Sealing_De%20sealing%20request.pdf,2026-06-09T17:50:55.712534,7249.0
gst,Introduction_of_2FA.pdf,unknown,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/Introduction_of_2FA.pdf,2026-06-09T17:50:55.714536,367.8
gst,AdvisoryNo_2008_20of_202026_CE_20Declaration_Change_20_Addition_disposal_20of_20machines.pdf,unknown,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/AdvisoryNo%2008%20of%202026_CE%20Declaration_Change%20_Addition_disposal%20of%20machines.pdf,2026-06-09T17:50:55.715539,4024.4
gst,AdvisoryNo._2007_2026HSNSAMENDMENT_20DECLARATION.pdf,07/2026,07.06.2026,Please Click here for Advisory.,https://cbic-gst.gov.in/pdf/AdvisoryNo.%2007_2026HSNSAMENDMENT%20DECLARATION.pdf,2026-06-09T17:50:55.717536,4659.4
gst,DuePayment.pdf,unknown,07.06.2026,Click here for Advisory.,https://cbic-gst.gov.in/pdf/DuePayment.pdf,2026-06-09T17:50:55.719537,13.8
gst,AdvisoryNo.06of2026dated12.03.26onfilingofHSNSReturns_RET-01.pdf,unknown,07.06.2026,Click here for Advisory.,https://cbic-gst.gov.in/pdf/AdvisoryNo.06of2026dated12.03.26onfilingofHSNSReturns_RET-01.pdf,2026-06-09T17:50:55.720534,4628.7
gst,ADVISORY_05-2026_CE_PMT_01.pdf,05/2026,07.06.2026,Click here for Advisory.,https://cbic-gst.gov.in/pdf/ADVISORY_05-2026_CE_PMT_01.pdf,2026-06-09T17:50:55.722534,2453.2
gst,HSNS_Declaration_filing_procedure.pdf,unknown,07.06.2026,Click here for Advisory.,https://cbic-gst.gov.in/pdf/HSNS_Declaration_filing_procedure.pdf,2026-06-09T17:51:49.649401,5176.9
gst,HSNS_Advisory_Helpdesk_01-2026.pdf,01/2026,07.06.2026,Click here for Advisory.,https://cbic-gst.gov.in/pdf/HSNS_Advisory_Helpdesk_01-2026.pdf,2026-06-09T17:57:30.703514,5616.2
gst,procedure-locate-e-payment-challan.pdf,unknown,07.06.2026,Latest Update - 6th February 2024 - alternate steps to locate e-Payment Challan under ICEGATE portal.,https://cbic-gst.gov.in/pdf/procedure-locate-e-payment-challan.pdf,2026-06-09T18:00:50.934245,260.7
